Country Code,Date,City,Latitude,Longitude,Max Temp,Humidity,Cloud,Wind Speed
MU,1554322743,Grand Gaube,-20.01,57.66,78.8,88,75,3.36
CD,1554323085,Likasi,-10.99,26.74,69.75,91,68,6.17
RU,1554323085,Vesyegonsk,58.67,37.27,21.69,69,0,2.82
GF,1554323085,Sinnamary,5.38,-52.96,80.64,93,92,12.88
KZ,1554323085,Semey,50.41,80.25,45.27,78,92,4.5
ID,1554323086,Banjar,-7.37,108.54,70.65,93,80,2.59
NZ,1554323086,Ahipara,-35.17,173.16,65.34,91,0,12.21
NZ,1554323087,Kaitangata,-46.28,169.85,50.58,65,56,6.4
IN,1554322826,Tura,25.52,90.21,64.8,90,0,5.61
ID,1554323001,Gorontalo,0.54,123.06,72.09,94,36,1.92
RU,1554323087,Sobolevo,54.43,31.9,36.54,66,76,4.61
BO,1554323088,Comarapa,-17.91,-64.53,61.38,83,44,0.69
CA,1554318000,Pangnirtung,66.15,-65.72,6.8,84,75,5.82
